Campaign_Name,Ad_Squad_Name,Ad_Name,Date,Objective,Placement,Device,Age,Gender,Impressions,Swipes,Swipe_Up_Rate,Video_Views,Video_View_Rate,Quartile_1,Quartile_2,Quartile_3,Completion_Rate,Spend,eCPM,eCPSwipe,Screen_Time_Millis,Conversions,Conversion_Rate,Revenue,ROAS,Frequency,Reach
Holiday_Campaign_2024,Stories_Squad,Stories_Ad,2024-06-01,Conversions,Stories,Mobile,25-34,Male,1161745,24929,2.15,927266,79.82,834539,741812,556359,60.0,55125.58,47.45,2.21,8172,2438,9.78,430384.37,7.81,1.68,690617
Holiday_Campaign_2024,Spotlight_Squad,Spotlight_Ad,2024-06-01,Video_Views,Spotlight,Mobile,35-44,Female,2189526,43078,1.97,1706175,77.92,1535557,1364940,1023705,60.0,75110.38,34.3,1.74,8035,3400,7.89,562502.01,7.49,1.59,1378950
Black_Friday_2024,Stories_Squad,Stories_Ad,2024-06-01,Conversions,Stories,Mobile,25-34,Male,986048,16780,1.7,768578,77.95,691720,614862,461146,60.0,36786.82,37.31,2.19,8274,1223,7.29,219942.64,5.98,1.56,631762
Black_Friday_2024,Camera_Squad,Camera_Ad,2024-06-01,App_Installs,Camera,Mobile,18-24,Female,990457,19280,1.95,852583,86.08,767324,682066,511549,60.0,35205.33,35.54,1.83,8460,1300,6.74,234115.03,6.65,1.4,705643
Cyber_Monday_2024,Discover_Squad,Discover_Ad,2024-06-01,Conversions,Discover,Mobile,35-44,Male,2600686,45416,1.75,2081672,80.04,1873504,1665337,1249003,60.0,69814.2,26.84,1.54,8985,4068,8.96,713049.04,10.21,1.7,1527159
Cyber_Monday_2024,Camera_Squad,Camera_Ad,2024-06-01,Engagement,Camera,Mobile,35-44,Female,1161220,17359,1.49,902756,77.74,812480,722204,541653,60.0,35611.72,30.67,2.05,8325,1362,7.85,197783.16,5.55,1.58,736374
Summer_Sale_2024,Camera_Squad,Camera_Ad,2024-06-01,Engagement,Camera,Mobile,35-44,Male,1497512,28870,1.93,1219558,81.44,1097602,975646,731734,60.0,54144.16,36.16,1.88,10309,3379,11.7,477906.51,8.83,1.63,916481
Summer_Sale_2024,Discover_Squad,Discover_Ad,2024-06-01,Conversions,Discover,Mobile,18-24,Female,1743997,25311,1.45,1344775,77.11,1210297,1075820,806865,60.0,45347.26,26.0,1.79,7161,1699,6.71,284472.69,6.27,1.68,1037808
Back_To_School_2024,Stories_Squad,Stories_Ad,2024-06-01,App_Installs,Stories,Mobile,18-24,Male,1706688,39158,2.29,1395811,81.78,1256229,1116648,837486,60.0,68283.57,40.01,1.74,8302,4678,11.95,755658.44,11.07,1.58,1081667
Back_To_School_2024,Spotlight_Squad,Spotlight_Ad,2024-06-01,Conversions,Spotlight,Mobile,25-34,Male,1414213,25642,1.81,1159442,81.98,1043497,927553,695665,60.0,43088.52,30.47,1.68,7162,1878,7.32,283464.32,6.58,1.54,920834
Spring_Launch_2024,Spotlight_Squad,Spotlight_Ad,2024-06-01,Conversions,Spotlight,Mobile,25-34,Female,1297015,29616,2.28,1085749,83.71,977174,868599,651449,60.0,45222.22,34.87,1.53,9569,3040,10.26,422458.27,9.34,1.47,883336
Spring_Launch_2024,Discover_Squad,Discover_Ad,2024-06-01,App_Installs,Discover,Mobile,18-24,Female,2222493,45578,2.05,1692655,76.16,1523389,1354124,1015593,60.0,91968.09,41.38,2.02,8710,3279,7.19,499379.51,5.43,1.41,1572540
Valentine_Day_2024,Discover_Squad,Discover_Ad,2024-06-01,Conversions,Discover,Mobile,35-44,Male,1461755,19821,1.36,1207810,82.63,1087029,966248,724686,60.0,30250.37,20.69,1.53,7860,1965,9.91,274663.64,9.08,1.65,888451
Valentine_Day_2024,Spotlight_Squad,Spotlight_Ad,2024-06-01,Engagement,Spotlight,Mobile,18-24,Female,2704450,38865,1.44,2400310,88.75,2160279,1920248,1440186,60.0,61313.77,22.67,1.58,7343,2578,6.63,399492.5,6.52,1.4,1926453
New_Year_2024,Camera_Squad,Camera_Ad,2024-06-01,Engagement,Camera,Mobile,18-24,Male,753726,15611,2.07,602090,79.88,541881,481672,361254,60.0,31390.42,41.65,2.01,8531,1177,7.54,186064.23,5.93,1.61,466923
